,Name,User_name,Date,Content,Comments,Forward,Like,Language
0,Philly,@ElonMuskJuan·5秒,2023-04-20,"Well, let me tell you... Their customer should be the one paying that ticket because they could have called the city and reserved a couple of parking spaces for a small fee. I feel bad for the moving company, I really do but shit like this causes accidents. No I don't drive.",,,,en
1,#WealthCometh,@AremuOlabode·6秒,2023-04-20,@elonmusk,,,,qam
2,Atakuton,@Hanny76726301·6秒,2023-04-20,@elonmusk I wish to know why my account has been suspended. I can respond to someone's tweet but I can't put my own tweet out. I will appreciate your response.,,,,en
3,M.Sadi,@kalokopm·7秒,2023-04-20,@elonmusk $CHAD need you elon ! :),,,,en
4,NeuronRun,@neuron_run·7秒,2023-04-20,WATCH:@elonmuskdiscuss creating “the maximum truth seeking #AI” alternative to #ChatGPT he’s calling “#TruthGPT”.,,,,en
5,Paolo Jiménez,@Paolo_Jimenez_G·8秒,2023-04-20,We still have time to destroy and totally ban anticonception and abortive technologies.,,,,en
6,Wonder Woman,@lulabelldesign1·10秒,2023-04-20,@Twitter @TwitterSupport @elonmusk Why is this coming up on my cell notifications but when I check @NWStornado Nada for 2 days?,,,,en
7,Oscar Del Carmen,@oscardelcarmen_·12秒,2023-04-20,RT @JordiEstradaB: Elon Musk sugiere que podría demandar a Microsoft por el uso de los datos de Twitter https://ift.tt/HGFdx8B Miriam Schuager #SocialMedia,,,,es
8,Caityelizabeth,@CaityEliza86·12秒,2023-04-20,She’s been very greedy with her reparations,,,,en
9,DeFI Alliance DAO (defialliance.defialliance),@DeFiAlliance_·13秒,2023-04-20,Elon Musk Is Looking To Sue Microsoft,,,,en
